**Параметр**;**Тип данных**;**Диапазон значений**;**Описание**
name;string;;Имя внешней сети
bus*;integer;;Индекс подключенной шины
vm_pu*;float;:math:`>` 0;Напряжение, о.е.
va_degree*;float;;Угол напряжения, гр.
max_p_mw**;float;;Магсимальная активная мощность
min_p_mw**;float;;Минимальная активная мощность
max_q_mvar**;float;;Максимальная реактивная мощность
min_q_mvar**;float;;Минимальная реактивная мощность
s_sc_max_mva***;float;:math:`>` 0;Мощность короткого замыкания в максимальном режиме, МВА
s_sc_min_mva***;float;:math:`>` 0;Мощность короткого замыкания в минимальном режиме, МВА
rx_max***;float;0...1;Отношение внутренних сопротивлений внешней сети R/X  в максимальном режиме
rx_min***;float;0...1;Отношение внутренних сопротивлений внешней сети R/X  в минимальном режиме
in_service*;boolean;True / False;Внешняя сеть используется в расчётах, да/нет
