**Параметр**;**Тип данных**;**Диапазон значений**;**Описание**
name;string;;Диспетчерское наименование генератора
type;string;"| наименование типа:
| *""sync""* - синхронный генератор
| *""async""* - асинхронный генератор
";тип генератора
p_mw*;float;:math:`\leq` 0;Активная мощность генератора [МВт]
vm_pu*;float;;Напряжение генератора [о.е.]
sn_mva;float;:math:`>` 0;номинальная полная мощность генератора [МВА]
min_q_mvar;float;;минимальная реактивная мощност генератора [МВар]
max_q_mvar;float;;максимальная реактивная мощность генератора [МВар]
scaling*;float;:math:`\leq` 0;коэффициент умножения для активной мощности
max_p_mw**;float;;Максимальная активная мощность [МВт]
min_p_mw**;float;;Минимальная активная мощность [МВт]
max_q_mvar**;float;;Максимальная реактивная мощность [МВар]
min_q_mvar**;float;;Минимальная реактивная мощность [МВар]
vn_kv***;float;;Величиина напряжения генератора [кВ]
xdss_pu***;float;:math:`>` 0;Сверхпереходное реактивное сопротивление генератора в относительных единицах
rdss_pu***;float;:math:`>` 0;Сверхпереходное активное сопротивление генератора в относительных единицах
cos_phi***;float;:math:`0 \leq` 1;Коэффициент мощности
in_service*;boolean;True / False;Генератор в работе.
