**Параметр**;**Тип данных**;**Описание**
p_from_mw;float;активная мощность на входе в линию [МВт]
q_from_mvar;float;реактивная мощность на входе в линию [МВар]
p_to_mw;float;активная мощность на выходе из линии [МВт]
q_to_mvar;float;реактивная мощность на выходе из линии [МВар]
pl_mw;float;активная мощность потерь в линии [МВт]
ql_mvar;float;генерация реактивной мощности в линии  [МВар]
i_from_ka;float;ток на входе в линию [кА]
i_to_ka;float;ток на выходе из линии [кА]
i_ka;float;максимальный из токов на входе или на выходе из линии [кА]
loading_percent;float;загрузка линии [%]
