**Параметр**;**Тип данных**;**Описание**
p_hv_mw;float;активная мощность в обмотке высокого напряжения [МВт]
q_hv_mvar;float;реактивная мощность в обмотке высокого напряжения [МВар]
p_mv_mw;float;активная мощность в обмотке среднего напряжения [МВт]
q_mv_mvar;float;реактивная мощность в обмотке среднего напряжения [МВар]
p_lv_mw;float;активная мощность в обмотке низкого напряжения [МВт]
q_lv_mvar;float;реактивная мощность в обмотке низкого напряжения [МВар]
pl_mw;float;активные потери в трансформаторе [МВт]
ql_mvar;float;реактивные потери в трансформаторе [МВар]
i_hv_ka ;float;ток в обмотке высокого напряжения [кА]
i_mv_ka ;float;ток в обмотке среднего напряжения [кА]
i_lv_ka ;float;ток в обмотке низкого напряжения [кА]
loading_percent;float;загрузка трансформатора [%]
