**Параметр**;**Тип данных**;**Диапазон значений**;**Описание**
name;string;;диспетчерское наименование
std_type;string;;тип используемого стандартного трансформатора
sn_mva*;float;:math:`>` 0;номинальная полная мощность [МВА]
vn_hv_kv*;float;:math:`>` 0;номинальное напряжение обмотки высокого напряжени [кВ]
vn_lv_kv*;float;:math:`>` 0;номинальное напряжение обмотки низкого напряжения [кВ]
vk_percent*;float;:math:`>` 0;напряжение короткого замыкания [%]
vkr_percent*;float;:math:`\geq`  0;активная составляющая напряжения короткого замыкания [%]
pfe_kw*;float;:math:`\geq` 0;потери короткого замыкания [кВт]
i0_percent*;float;:math:`\geq` 0;потери холостого хода [%]
shift_degree*;float;;угол сдвига фазы низкой обмотки относительно высокой
tap_side;string;"""hv"", ""lv""";определяет обмотку содержащую РПН
tap_neutral;integer;;нейтральное положение РПН
tap_min;integer;;минимальное положение РПН
tap_max;integer;;максимальное положение РПН
tap_step_percent;float;:math:`>` 0;величина изменения напряжения для одного положения РПН [%]
tap_step_degree;float;:math:`\geq` 0;величина изменения угла для одного положения РПН
tap_pos;integer;;текущее положение РПН
tap_phase_shifter;bool;;определяет, является ли трансформатор идеальным фазорегулятором
parallel;int;:math:`>` 0;количество параллельных трансформаторов
max_loading_percent**;float;:math:`>` 0;максимальная нагрузка трансформатора относительно sn_mva и соответствующего ей тока при V=1,0 о.е.
df;float;1 :math:`\geq` df :math:`>`0;коэффициент снижения: максимальный ток трансформатора по отношению к номинальному току трансформатора (от 0 до 1)
in_service*;boolean;True / False;использовать в расчётах.
