**Параметр**;**Тип данных**;**Описание**
p_hv_mw;float;активная мощность на входе в обмотку высокого напряжения [МВт]
q_hv_mvar;float;реактивная мощность на входе в обмотку высокого напряжения [МВар]
p_lv_mw;float;активная мощность на выходе из обмотки низкого напряжения [МВт]
q_lv_mvar;float;реактивная мощность на выходе из обмотки низкого напряжения [МВар]
pl_mw;float;активные потери мощности в трансформаторе [МВт]
ql_mvar;float;реактивные потери мощности в трансформаторе [МВар]
i_hv_ka;float;ток в обмотке высокого напряжения [кА]
i_lv_ka;float;ток в обмотке низкого напряжения [кА]
loading_percent;float;загрузка трансформатора относительно номинальной мощности [%]
                                
