name,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,type,max_i_ka,endtemp_degree
А-120                         ,0.27,0.297,4.97,cs,100,0
А-150                         ,0.21,0.288,4.97,cs,100,0
А-16                          ,1.96,0.377,4.97,cs,100,0
А-185                         ,0.17,0.279,4.97,cs,100,0
А-25                          ,1.165,0.377,4.97,cs,100,0
А-35                          ,0.91,0.336,4.97,cs,100,0
А-50                          ,0.588,0.355,4.97,cs,100,0
А-70                          ,0.45,0.315,4.97,cs,100,0
А-95                          ,0.33,0.303,4.97,cs,100,0
ААБ-120                       ,0.258,0.08,307,cs,100,0
ААБ-150                       ,0.206,0.079,336,cs,100,0
ААБ-185                       ,0.167,0.077,370,cs,100,0
ААБ-240                       ,0.129,0.075,410,cs,100,0
ААБ-25                        ,1.25,0.099,200,cs,100,0
ААБ-35                        ,0.894,0.095,210,cs,100,0
ААБ-50                        ,0.625,0.083,226,cs,100,0
ААБ-70                        ,0.447,0.086,254,cs,100,0
ААБ-95                        ,0.326,0.083,288,cs,100,0
ААБ(ож)-120                   ,0.258,0.08,307,cs,0.248,0
ААБ(ож)-150                   ,0.206,0.079,336,cs,100,0
ААБ(ож)-185                   ,0.167,0.077,370,cs,100,0
ААБ(ож)-240                   ,0.129,0.075,410,cs,100,0
ААБ(ож)-25                    ,1.25,0.099,200,cs,100,0
ААБ(ож)-35                    ,0.894,0.095,210,cs,100,0
ААБ(ож)-50                    ,0.625,0.09,226,cs,100,0
ААБ(ож)-70                    ,0.447,0.086,254,cs,100,0
ААБ(ож)-95                    ,0.326,0.083,288,cs,100,0
ААБл-120                      ,0.258,0.076,307,cs,100,0
ААБл-150                      ,0.206,0.074,336,cs,100,0
ААБл-185                      ,0.167,0.073,370,cs,100,0
ААБл-240                      ,0.129,0.071,410,cs,100,0
ААБл-25                       ,1.25,0.091,200,cs,100,0
ААБл-35                       ,0.894,0.087,210,cs,100,0
ААБл-50                       ,0.625,0.083,226,cs,100,0
ААБл-70                       ,0.447,0.086,254,cs,100,0
ААБл-95                       ,0.326,0.078,288,cs,100,0
ААБл(ож)-120                  ,0.258,0.08,307,cs,100,0
ААБл(ож)-150                  ,0.206,0.079,336,cs,100,0
ААБл(ож)-185                  ,0.167,0.077,370,cs,100,0
ААБл(ож)-240                  ,0.129,0.075,410,cs,100,0
ААБл(ож)-25                   ,1.25,0.099,200,cs,100,0
ААБл(ож)-35                   ,0.894,0.095,210,cs,100,0
ААБл(ож)-50                   ,0.625,0.09,226,cs,100,0
ААБл(ож)-70                   ,0.447,0.086,254,cs,100,0
ААБл(ож)-95                   ,0.326,0.083,288,cs,100,0
ААБлГ-120                     ,0.258,0.08,307,cs,100,0
ААБлГ-150                     ,0.206,0.079,336,cs,100,0
ААБлГ-185                     ,0.167,0.077,370,cs,100,0
ААБлГ-240                     ,0.129,0.075,410,cs,100,0
ААБлГ-25                      ,1.25,0.099,200,cs,100,0
ААБлГ-35                      ,0.894,0.095,210,cs,100,0
ААБлГ-50                      ,0.625,0.09,226,cs,100,0
ААБлГ-70                      ,0.447,0.086,254,cs,100,0
ААБлГ-95                      ,0.326,0.083,288,cs,100,0
ААБлГУ-120                    ,0.258,0.08,307,cs,100,0
ААБлГУ-150                    ,0.206,0.079,336,cs,100,0
ААБлГУ-185                    ,0.167,0.077,370,cs,100,0
ААБлГУ-240                    ,0.129,0.075,410,cs,100,0
