,hv_bus,mv_bus,lv_bus,sn_hv_mva,sn_mv_mva,sn_lv_mva,vn_hv_kv,vn_mv_kv,vn_lv_kv,vk_hv_percent,vk_mv_percent,vk_lv_percent,vkr_hv_percent,vkr_mv_percent,vkr_lv_percent,shift_mv_degree,shift_lv_degree,pfe_kw,i0_percent,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,t1ap_step_degree,tap_pos,tap_at_star_point
ТМТН-6300/35-68,35,11,6.6,6.3,0,6.3,35,11,6.6,7.5,7.5,16.5,0.87,,,,,13,2.3,,,,,,,,
ТМТН-10000/35,36.75,11,6.6,16,0,16,36.75,11,6.6,16.5,8,7.2,0.75,,,,,18,2.1,,,,,,,,
ТМТН-16000/35,36.75,11,6.6,16,0,16,36.75,11,6.6,17,8,7.5,0.71,,,,,24,1.6,,,,,,,,
ТМТН-6300/110,110,38.5,11,6.3,0,6.3,110,38.5,11,10.5,17,6,01.03,,,,,32,4.8,,,,,,,,
ТМТН-6300/110-66,115,38.5,11,6.3,0,6.3,115,38.5,11,10.5,17,6,0.95,,,,,17,1.2,,,,,,,,
ТМТН-10000/110-67,115,38.5,11,10,0,10,115,38.5,11,10.5,17,6,0.8,,,,,23,1.1,,,,,,,,
ТДТН-10000/110-70,115,38.5,11,10,0,10,115,38.5,11,10.5,17,6,0.8,,,,,23,5,,,,,,,,
ТДТН-16000/110-66,115,38.5,11,16,0,16,115,38.5,11,10.5,17,6,0.65,,,,,32,1.05,,,,,,,,
ТДТН-20000/110-Б,115,38.5,11,20,0,20,115,38.5,11,10.5,17,6,0.63,,,,,45,2.5,,,,,,,,
ТДТН-25000/110-66,115,38.5,11,25,0,25,115,38.5,11,10.5,17,6,0.58,,,,,45,1,,,,,,,,
ТДТН-40000/110-67,115,38.5,11,40,0,40,115,38.5,11,10.5,17,6,0.57,,,,,63,0.9,,,,,,,,
ТДТН-63000/110-67,115,38.5,11,63,0,63,115,38.5,11,10.5,17,6,0.14,,,,,87,0.85,,,,,,,,
